sentence,label
"Capesize spot rates rose as iron ore shipments to China increased.",1
"Panamax grain loadings climbed on strong South American export programs.",1
"Supramax demand improved in the Indian Ocean on active coal fixtures.",1
"Weak steel margins cut iron ore cargo volumes, pressuring Capesize demand.",2
"Seasonal lull and high stocks slowed Southeast Asia coal flows, hurting Supramax demand.",2
"Soft construction activity curbed clinker shipments, reducing Handysize enquiries.",2
"Baltic Dry Index rebalanced constituents without changing underlying demand.",0
"Minor terminal maintenance had limited effect on regional dry bulk fixtures.",0
"Coastal weather advisories did not materially impact dry bulk freight appetite.",0

